#{"t_start": 1596175826.1036322, "env_id": null}
r,l,t
244.415048,9,5028.567308
240.171212,10,5040.351392
96.263338,21,5058.957758
-447.064948,30,5082.856715
218.005865,12,5095.147361
-154.39571,27,5130.167038
-1063.836388,50,5160.773867
-513.101178,40,5187.866299
109.589314,15,5216.816277
197.33805,17,5232.118304
94.257498,18,5247.042701
211.527613,12,5272.743526
72.784389,18,5290.008919
78.387926,18,5307.500862
-854.070614,37,5336.50174
32.244219,28,5358.330347
151.542949,12,5372.905513
-53.848687,22,5391.973169
-516.153559,35,5417.023372
-97.393174,27,5436.946704
-300.195937,29,5459.567628
142.709384,15,5475.248775
-106.940094,26,5495.40379
209.607945,13,5508.3519
-114.737413,27,5528.745347
85.793387,21,5543.841825
-382.96744,27,5565.721241
247.05567,9,5577.31682
-468.087297,35,5602.217051
73.408322,21,5620.158651
242.457071,11,5632.386993
208.48765,12,5645.13287
87.385326,23,5661.359962
105.873531,20,5677.324681
236.785778,8,5688.663105
-329.642109,30,5712.108027
-182.219345,25,5745.644872
-543.957907,34,5770.608891
-328.563201,26,5792.105073
-249.758843,26,5826.321803
-853.298537,43,5856.476426
-398.186638,27,5880.632084
266.788717,7,5892.14712
59.972931,20,5908.276423
-99.387443,24,5941.880382
-168.789161,31,5964.232538
150.362829,13,5979.726456
-493.632174,36,6005.382043
-528.837241,32,6028.304271
-256.521559,30,6049.109391
256.62162,8,6061.334627
233.664885,10,6072.965729
-187.076796,28,6094.354271
142.729574,15,6122.272968
213.984976,13,6134.3648
114.928532,17,6164.206989
-144.111962,24,6186.155933
-14.354345,18,6204.778166
74.428106,18,6221.582254
-314.739255,30,6245.502963
-119.463771,24,6267.100565
300,1,6273.755432
-174.508852,31,6294.448544
51.961882,16,6310.931396
100.361664,16,6327.405172
80.66909,19,6343.361258
135.778471,15,6358.946383
-751.21069,43,6389.396844
-256.82463,32,6413.03799
222.99012,10,6425.304239
36.627071,20,6442.717369
300,1,6449.500966
-347.162037,30,6486.611471
36.900999,21,6501.601507
-404.760242,33,6526.479769
-476.425354,32,6551.662835
225.523785,8,6576.344691
115.497191,19,6591.768029
131.813917,15,6621.031405
259.359985,7,6625.828773
-915.827893,43,6655.230983
-832.344725,41,6684.288253
266.236077,6,6694.187476
300,1,6715.376409
240.029276,9,6726.770484
-395.310826,30,6750.468212
-82.374338,24,6784.549339
142.574765,16,6798.922969
112.730713,19,6828.788543
243.054312,9,6840.44545
214.216303,11,6853.859643
6.503507,20,6869.722587
243.113917,9,6881.32711
1.089135,18,6899.476137
62.41522,20,6915.047024
237.987959,9,6926.790824
10.594578,25,6943.596874
-465.060252,29,6964.595565
-112.833647,36,6988.081157
-405.459007,33,7010.692613
234.369316,10,7021.33338
-289.760795,27,7046.195709
-409.674752,30,7068.392029
252.222445,7,7092.676663
246.829348,10,7102.89422
142.87118,14,7132.018266
67.885234,16,7148.48029
-968.686637,46,7177.848051
-793.09906,40,7205.048713
-97.990552,23,7237.67306
-554.209691,37,7262.922755
-507.11399,36,7286.166794
-265.845509,27,7310.34583
-356.953169,31,7347.353482
-104.529939,25,7381.356929
-122.695284,26,7399.874267
71.18922,18,7430.255693
-118.209018,25,7449.908089
277.273454,5,7473.622795
221.610931,10,7485.747826
260.770225,8,7496.053164
-426.002497,33,7520.048984
-97.554381,23,7540.858389
67.395107,18,7555.915035
220.438817,10,7567.757891
-919.792313,49,7598.515901
-95.13489,24,7617.610058
55.614877,16,7649.548592
224.777329,11,7661.083024
214.684545,15,7674.049163
-543.303953,31,7714.117604
-218.853555,25,7733.53044
-7.109107,27,7754.593498
-383.605962,34,7779.005857
-235.599353,30,7801.186201
-89.581363,25,7819.369692
222.017602,12,7844.154867
92.595402,18,7858.214243
-514.855806,42,7883.96511
-768.459781,41,7913.171218
25.903076,26,7946.397933
229.587376,10,7959.022737
219.724592,12,7970.168744
-856.285335,40,7997.205999
-636.996627,38,8023.417222
-139.218049,29,8056.562766
-82.159638,21,8077.33901
79.891744,16,8094.47012
228.102883,11,8119.644125
252.81663,8,8129.511351
-206.552172,32,8162.843108
-159.101465,25,8183.916394
-511.813877,37,8208.29043
-0.964577,22,8242.010945
242.124077,10,8252.161287
-748.70469,39,8282.118675
206.553403,13,8295.484566
19.747436,17,8311.578466
236.119323,11,8323.169877
-104.707657,25,8344.574218
-153.903355,26,8364.259706
122.963206,17,8379.979589
191.493406,17,8393.879979
-114.463853,25,8411.414461
-187.685167,30,8432.368309
-456.538481,33,8457.283207
-147.744236,27,8476.948314
-222.68371,32,8498.292212
11.392653,19,8516.562993
-44.280218,26,8533.064542
-771.379522,39,8561.398194
-631.772974,37,8587.633472
192.195514,11,8599.165636
-265.294857,25,8635.704252
240.397115,12,8646.066095
-113.359964,26,8668.113422
246.346552,7,8679.637273
-125.098094,24,8700.459749
81.719434,20,8718.872172
-257.481833,28,8744.939428
-180.986844,25,8764.933353
-477.574623,39,8790.857094
-66.528325,27,8824.326045
150.153155,13,8840.325715
180.158261,14,8853.217208
104.064127,16,8869.313859
60.427783,16,8886.254423
-571.106467,37,8911.403703
-995.841623,44,8939.088167
-470.228061,36,8978.18327
-51.10895,22,9010.811509
93.232654,20,9040.783733
-502.995331,36,9066.435421
-457.614805,31,9090.320226
-299.053686,30,9113.60687
300,1,9119.513681
-149.164621,29,9155.691002
-227.027862,30,9179.45805
3.037147,22,9197.5241
-122.026457,26,9217.114122
-701.209531,35,9260.672328
190.729682,14,9273.606913
255.581091,9,9298.25786
-66.396019,24,9318.640218
-511.575306,35,9343.970447
10.019758,29,9365.606801
-172.686754,27,9384.811634
-1021.990027,52,9416.189417
300,1,9423.336016
-551.200899,53,9468.812966
-973.722416,52,9502.0703
-644.686191,36,9522.394591
256.010853,7,9533.71464
-467.645827,34,9559.325534
35.7947,18,9576.192412
-228.22588,29,9610.996905
247.834412,7,9622.686013
-401.600855,34,9659.493116
-189.583842,28,9677.386316
-367.475598,29,9714.737165
-155.730962,27,9735.417336
-697.179923,37,9762.494848
88.579671,16,9778.859546
-597.636474,40,9818.345554
229.819311,8,9829.488739
-77.265663,29,9850.103954
-222.869861,39,9872.556441
99.009782,17,9887.833293
243.16077,11,9899.653418
-347.965984,48,9929.104775
200.169575,19,9945.436213
40.660749,27,9966.088603
50.541339,28,9985.808479
221.004376,10,9998.79479
126.270504,14,10014.478228
-20.998696,34,10036.63069
-347.90211,27,10061.225524
245.851493,10,10074.020935
-853.756344,41,10104.016418
95.800317,18,10121.602832
24.744884,32,10139.966734
-223.316843,34,10164.777437
45.675798,27,10179.437049
233.793955,12,10204.391795
109.850895,15,10218.711401
-536.447454,35,10242.834236
-195.35113,27,10262.823323
-238.057911,47,10290.677635
84.778625,17,10306.402824
-591.456785,33,10331.789972
300,1,10352.997002
-27.050382,42,10378.272283
-1060.692889,53,10412.882414
252.118328,8,10424.034603
-245.258321,28,10443.384035
-21.943389,30,10461.283002
-722.473117,37,10487.721986
145.889446,14,10499.966089
-316.111144,37,10539.710135
109.614758,15,10555.882743
215.121991,13,10568.176062
-354.0292,32,10592.542431
22.573342,47,10620.387035
2.432203,32,10641.855608
-846.718339,67,10680.228788
-311.898223,28,10716.149699
64.594025,38,10739.695845
19.487085,19,10769.537148
96.137434,14,10799.203396
-243.865705,40,10825.514303
-182.097332,23,10848.110853
-633.121411,64,10895.265815
263.945955,7,10918.963982
-1184.778229,60,10953.388759
104.703571,16,10969.949018
-245.488391,38,11007.279787
108.325047,18,11036.370366
105.659245,16,11052.102851
25.835104,24,11069.341383
-67.401974,50,11095.933056
47.944732,20,11113.520675
125.785457,15,11127.572928
-1202.256066,59,11159.893828
-1026.901945,143,11220.552495
-899.780008,107,11270.258322
20.133655,17,11286.05915
256.972936,8,11296.359345
231.693255,9,11305.227641
214.390013,10,11317.058128
25.405224,35,11338.304153
253.41211,7,11362.647863
215.659555,11,11375.491814
-90.831933,28,11395.591582
252.496192,7,11405.916092
-747.209291,38,11433.102196
-2205.964049,274,11546.673769
-351.928518,62,11579.024595
105.019115,17,11593.35584
-508.75666,43,11622.075884
-476.870233,32,11662.14209
-416.662755,33,11687.356818
267.545629,6,11698.132031
-126.999232,57,11721.203103
-423.16816,32,11744.803017
-465.054916,39,11771.648009
106.087704,17,11800.57151
124.993686,15,11815.345172
-163.776753,53,11842.09397
233.392126,10,11867.087173
-512.361361,33,11891.142935
-68.924034,47,11928.425068
-789.71096,83,11970.145147
-526.719739,38,12008.471998
-163.19137,28,12029.720534
-175.48995,28,12050.725211
254.157631,8,12061.678179
-494.679302,55,12090.431018
208.030699,12,12102.70726
-401.423515,52,12130.395438
243.867351,8,12139.992004
26.784473,17,12156.122718
-519.143877,38,12180.472028
-127.094381,60,12224.740547
264.043274,7,12235.05014
-526.247809,34,12260.545303
172.394771,28,12278.860888
86.520178,18,12294.387325
-6.803242,23,12310.058908
149.412449,14,12326.037149
-824.217874,43,12353.920332
-274.180927,26,12390.942351
-656.530985,56,12422.273771
-501.750784,43,12465.173778
-877.334769,41,12493.045141
-403.678486,33,12529.982754
205.644357,11,12542.872816
-479.47289,34,12568.521992
-141.22992,26,12602.973821
-45.547989,43,12640.828332
200.510009,11,12654.229179
-579.318295,37,12680.431862
102.718829,18,12696.965595
197.399161,17,12712.396922
127.587658,14,12729.28319
87.61054,19,12745.812526
-657.665026,41,12771.362638
-100.470635,32,12792.508067
133.980651,24,12821.688551
-86.374317,23,12855.377478
-301.296378,28,12892.333294
-202.023105,33,12915.04466
-398.569126,39,12943.100631
-544.164891,37,12968.995248
174.965397,22,12986.35711
-162.146145,25,13022.157286
247.956319,10,13035.249401
78.498237,20,13051.790126
186.413558,19,13081.006316
76.819439,19,13096.833592
-161.3997,30,13118.902548
82.768822,21,13136.132535
-819.025313,37,13164.684206
75.992449,17,13181.6994
-418.354018,34,13205.772604
217.038863,12,13217.904658
-1433.609417,55,13253.484814
-1011.272666,52,13285.962057
268.192938,5,13297.058453
-189.7518,26,13318.00756
245.440969,8,13329.657473
213.170746,12,13342.396034
-120.340457,25,13362.981474
189.969557,17,13391.203357
225.204869,10,13403.269248
-905.814521,46,13432.953882
-985.364189,45,13464.624561
-141.525763,26,13486.256076
-912.561876,40,13515.279447
46.917295,19,13531.606172
126.059249,16,13561.427059
249.274781,6,13571.093647
-194.125881,23,13589.3563
-117.650261,23,13621.512958
122.456668,18,13639.178822
233.919021,14,13652.038885
-144.667134,27,13671.552364
-164.276007,24,13691.53452
-686.323042,36,13718.466973
-373.194966,29,13744.057002
-66.04396,25,13762.875868
-831.431211,42,13803.755741
233.84328,9,13814.512121
205.944277,11,13822.217613
81.40177,19,13834.551022
114.551288,15,13850.264124
-926.799024,41,13878.11392
-174.613869,28,13899.537379
-177.582311,30,13922.528355
36.529417,20,13940.050356
300,1,13946.377685
-231.855689,30,13981.944172
-239.235638,29,14002.373335
-116.788604,24,14036.191296
-705.370658,38,14064.579338
-571.449613,33,14090.709292
260.048874,8,14101.048084
153.465904,16,14130.138063
-337.446188,29,14153.837554
51.298796,21,14170.820676
-657.184514,36,14195.931542
217.994082,9,14222.135601
-268.390972,28,14257.694294
6.676884,18,14275.232826
-752.94769,37,14303.388955
-682.179346,33,14328.721319
-939.434388,41,14357.078307
-433.831455,33,14381.883747
-129.976305,24,14402.869837
231.527384,11,14414.757469
99.099844,19,14431.701508
101.755217,18,14446.924826
-396.322495,34,14470.015557
-426.140805,33,14506.958197
-63.445897,22,14528.26104
-178.390897,29,14551.087599
-790.433113,41,14593.832163
247.839237,6,14605.527118
-828.396912,46,14635.243324
-752.746694,34,14664.22456
105.305548,18,14681.683665
-246.707745,24,14701.00911
10.06878,25,14732.791463
213.571433,16,14748.240763
40.653906,19,14779.284234
240.346414,8,14791.797545
86.384972,18,14819.840268
-278.287092,25,14854.516695
-144.702482,29,14876.36079
-79.298299,21,14897.619182
-242.269374,30,14919.530602
-482.910575,35,14944.174449
231.532499,12,14956.538885
127.056529,15,14972.518392
-259.94358,28,14993.354764
-1034.058427,45,15025.519608
95.387413,17,15037.534585
72.354029,19,15053.487848
-903.785003,50,15083.786705
208.562681,10,15095.696752
-406.528368,34,15134.045446
138.048156,23,15150.271241
177.365365,19,15166.694042
-393.223879,34,15190.378516
-204.017558,30,15212.374403
300,1,15220.205733
-183.857919,27,15239.694046
-62.920743,22,15259.066351
268.925639,5,15283.412109
188.550263,24,15300.707991
220.147727,13,15315.125315
82.401471,19,15331.936599
104.801744,19,15362.65024
-17.781034,24,15380.392641
-468.739299,35,15403.808497
-85.334691,23,15437.447022
246.373538,11,15449.857012
-77.845625,21,15470.87222
114.254728,16,15488.106538
241.534522,13,15499.288231
-578.427645,39,15537.46753
-845.097971,38,15565.734401
-558.394534,40,15604.23303
-31.234761,19,15620.097817
-570.315727,38,15645.323631
-355.483476,32,15670.298476
212.279579,13,15683.149976
-509.419159,34,15706.949966
-367.291986,33,15745.301697
-410.339044,31,15769.362169
300,1,15771.567654
-536.525854,37,15809.765723
-475.729915,33,15833.847911
-447.034557,31,15871.011125
-576.337948,34,15895.17725
-397.128881,30,15919.037743
-290.845144,32,15942.75458
50.792474,15,15958.614971
133.708665,15,15972.623682
-47.914332,22,16004.759687
-167.819824,32,16024.630639
-68.949672,24,16056.965502
-518.654766,35,16097.409597
233.185117,10,16123.150488
-250.92057,24,16142.666697
199.416755,18,16171.245566
194.246813,16,16185.876647
121.766901,16,16200.97266
-688.524313,37,16231.443314
-452.446089,36,16256.931823
243.196262,8,16268.420585
48.490119,21,16285.643431
116.174932,14,16301.175641
45.242505,21,16318.594615
-221.92183,28,16337.614805
-514.916995,36,16374.770502
241.11948,9,16399.203201
278.485257,4,16422.006212
249.078775,10,16432.918235
-505.199984,33,16455.268829
-695.918001,38,16483.620444
-83.350103,28,16503.544159
-617.645087,39,16532.055616
-262.607748,26,16553.650886
-110.488513,26,16575.767057
-678.005375,36,16604.586892
-30.183946,19,16621.796962
-724.559256,43,16652.350491
-638.359201,38,16680.079162
223.897203,12,16693.820965
-796.86967,40,16721.753738
-64.19541,23,16742.18279
-402.931682,30,16767.259952
-19.627662,24,16785.820815
249.688185,9,16797.289607
122.882637,18,16813.971433
-133.075166,26,16835.190877
216.404708,10,16847.38754
-164.175085,25,16866.736154
-1017.635317,39,16909.437144
-369.876378,31,16936.131914
74.97621,19,16951.790862
-185.105373,24,16985.90995
110.985099,20,17001.713059
-911.856173,40,17031.218288
-386.999986,28,17054.541858
-244.641394,29,17076.639407
-106.588133,26,17097.779065
-396.010507,34,17134.887323
24.152365,23,17150.446314
211.945362,12,17161.482296
-67.613113,23,17178.793576
32.781307,22,17196.240819
-153.521632,25,17217.507673
-60.405435,21,17249.669265
45.290854,16,17265.882395
84.823241,17,17281.987726
88.537601,16,17297.11331
73.252743,15,17313.362978
-370.899455,31,17339.227581
-440.161253,32,17364.668933
-23.251237,22,17385.707703
-25.436865,21,17405.205827
89.787998,17,17434.439174
300,1,17441.596865
226.402662,9,17452.701349
-181.659148,28,17486.334646
-658.42411,39,17527.084396
-390.835321,33,17552.759652
-464.518114,32,17575.066412
256.721723,7,17586.331245
240.548625,12,17598.513004
-138.471958,25,17617.957965
109.164721,17,17646.837845
70.944282,19,17660.958362
-386.323547,30,17684.970735
18.078626,18,17702.235676
269.416993,5,17707.898941
257.097089,8,17719.17252
84.957375,19,17735.079115
-224.300428,28,17768.623194
-120.454956,24,17803.521472
230.192784,11,17815.677659
51.514994,18,17830.892096
147.431273,13,17844.643075
-270.922248,25,17868.11501
-325.705615,28,17890.155873
-363.771928,35,17914.87292
101.880712,19,17929.346292
-383.039303,31,17952.224448
-406.232168,32,17977.060834
-120.767545,37,17999.332292
-228.105998,27,18017.58192
-158.95285,30,18040.127547
-162.1182,24,18060.531066
77.439812,18,18076.262726
43.112726,22,18093.728647
-929.456578,46,18121.681021
-188.245297,27,18142.264882
-4.765945,24,18161.925184
132.547074,17,18176.987707
251.755015,9,18187.947238
97.042066,16,18203.217702
-591.203212,38,18228.675067
-727.971538,38,18248.661734
300,1,18255.243357
90.166778,17,18285.06762
114.026021,18,18301.31396
-565.373008,37,18321.768882
-42.491436,26,18342.990889
228.920458,8,18354.352275
-979.417537,37,18382.940744
-833.13613,40,18409.769445
-738.260286,40,18439.843207
203.043777,14,18453.623211
-55.834861,22,18471.821212
156.117986,14,18486.866827
-131.142285,24,18506.375318
17.192918,17,18523.432954
54.813174,22,18542.661089
-265.410714,26,18560.785842
-163.362926,33,18582.523316
-535.349032,34,18622.072803
-217.05145,30,18643.316847
-654.989193,37,18684.275786
-130.910484,24,18718.309733
-468.766602,36,18742.658094
119.426592,15,18771.855534
-66.043984,29,18791.153941
-199.672398,24,18812.27278
238.055337,10,18823.167789
-541.09315,35,18849.572282
-704.043689,36,18879.254739
107.278354,16,18907.448271
-121.192455,27,18942.49653
300,1,18949.819448
53.163751,21,18981.81883
-267.213408,34,19005.427885
16.350862,17,19036.715888
-425.043579,32,19061.523813
-219.862539,31,19083.482873
-1019.181792,38,19113.536645
124.679369,14,19129.72889
-683.137044,38,19159.336298
-1261.290855,47,19187.965422
-135.043574,26,19209.320576
68.417335,19,19227.655777
-406.626247,30,19252.626583
-467.132898,33,19279.035575
300,1,19285.589694
-77.128905,30,19320.175026
248.621248,10,19332.247545
-374.455622,29,19356.258198
-148.072454,24,19377.402901
240.004944,8,19389.070946
300,1,19396.927113
-589.187303,39,19422.429982
261.837055,7,19434.001164
-751.829975,39,19463.18103
-565.228523,37,19488.849648
-882.780867,44,19518.968259
119.603157,15,19535.2324
-497.112754,36,19560.393813
300,1,19566.345598
127.809953,15,19580.790457
216.469756,10,19591.986308
219.129837,14,19604.51118
-807.326564,40,19628.630019
210.525751,12,19641.332563
-125.598912,25,19661.118128
26.375485,21,19679.630159
29.67954,17,19694.116048
-88.562543,23,19714.623989
255.826009,7,19724.324039
225.364509,10,19736.111226
161.108871,14,19765.095798
63.477144,20,19780.866505
-108.665318,24,19797.653753
100.117349,15,19813.407679
252.878563,8,19824.967896
-144.82102,28,19844.603217
-194.395855,25,19864.756943
138.001601,15,19880.021327
-385.083592,33,19904.128975
87.600193,18,19920.171
73.962015,32,19941.474141
-85.206683,22,19960.204917
150.941713,15,19976.276665
-327.180933,28,20001.206309
-219.042992,29,20037.542894
-25.062462,20,20050.011437
71.388933,18,20065.11594
-497.576091,36,20090.004105
237.355769,8,20102.552029
-821.43041,38,20130.826157
-1.20577,19,20147.917363
71.031817,21,20164.119688
-3.571758,22,20181.011679
-475.951539,36,20206.859222
-428.861055,32,20230.518311
-619.935498,37,20256.047563
-283.634603,32,20279.201712
-941.854543,41,20310.43018
-156.062284,24,20328.983607
-103.454167,26,20363.535499
-445.63865,32,20388.657778
113.127105,19,20405.318206
-93.583247,28,20427.608702
-817.324969,41,20457.080376
-308.588487,29,20483.832873
-379.410346,29,20509.325473
249.232812,7,20521.212177
-687.6863,42,20551.913035
-64.794405,25,20584.545445
-737.217756,46,20611.066434
-571.819969,78,20652.811341
-875.18646,40,20681.198151
-616.861455,37,20725.276968
96.733917,17,20741.882257
-800.363177,40,20769.9534
34.479266,16,20800.044084
-771.834435,40,20828.065566
251.814643,8,20839.41807
-227.794876,28,20874.359941
-255.074017,41,20901.457422
146.60677,15,20929.293887
15.884137,20,20946.887426
78.629029,19,20961.997102
131.820159,18,20993.134709
114.82595,14,21006.878399
40.610715,21,21024.015782
254.715395,8,21034.246013
89.498271,17,21063.705821
-546.589206,38,21090.445693
-451.221911,28,21115.72298
206.429241,15,21127.497673
235.326155,9,21138.717885
15.437732,18,21168.278883
128.743266,16,21197.525023
-407.908975,33,21221.642207
96.201078,18,21237.834297
98.80783,16,21254.025106
244.470744,7,21264.229277
103.58167,40,21287.749509
-1004.599487,96,21338.148319
-396.187409,27,21359.420063
131.553987,16,21387.881533
91.933064,16,21402.51487
102.905363,15,21416.440137
56.73369,23,21434.383815
-784.342376,42,21463.514534
-234.538192,29,21484.303768
300,1,21490.634716
112.315543,18,21519.628978
259.545242,7,21529.562639
259.202243,6,21540.78173
-570.788905,35,21564.919016
-583.751592,33,21603.477687
-654.87603,39,21632.246192
-526.985051,35,21659.221909
-152.54665,54,21689.883116
87.340047,16,21705.191878
148.68789,13,21719.14736
-141.825227,24,21739.929037
-137.933547,25,21760.342088
-452.629967,34,21783.85857
142.1832,18,21799.90982
43.264636,20,21816.048031
-168.919845,26,21849.924372
-626.260334,37,21874.488954
-135.042797,26,21895.006249
27.396587,24,21911.235879
-651.992936,39,21935.576215
80.247049,19,21951.856452
251.388184,9,21962.654552
86.606323,18,21977.420775
-46.708351,21,21994.42307
-148.890563,27,22014.561051
-205.831039,25,22034.610179
-724.16733,39,22062.415181
-392.64525,32,22086.462949
-148.605628,25,22106.59505
52.164873,16,22122.646181
169.909166,11,22137.359812
232.849393,10,22147.553488
255.62802,7,22158.419355
-121.506405,24,22177.899396
-61.256851,20,22199.035881
239.455982,9,22210.387186
109.32742,17,22239.451075
-718.651736,40,22280.677171
61.142978,19,22296.362242
-889.292114,44,22323.029742
-457.14951,33,22360.255837
-889.701955,45,22392.42232
125.634492,15,22408.474869
-546.794984,35,22435.842979
-409.884818,31,22459.500711
228.172418,10,22472.689052
-78.955456,24,22494.481526
225.499182,9,22506.507605
-418.053016,33,22544.594321
-439.288023,27,22582.537617
232.264021,11,22595.25516
166.1339,11,22610.158116
-82.151905,26,22630.675581
74.491158,20,22647.063658
67.33399,18,22663.17893
211.509829,14,22676.623545
19.694048,19,22693.376882
300,1,22714.574768
-136.895534,26,22736.126584
-125.335129,25,22757.772125
-185.013162,24,22777.810277
-635.305496,35,22802.132693
-588.329768,34,22827.094604
-117.318877,24,22848.752509
85.38006,18,22865.157133
300,1,22872.193884
73.786491,18,22902.360483
-471.262531,36,22925.9007
-863.380532,46,22957.211694
300,1,22964.6634
8.419066,17,22994.817239
-428.501311,32,23019.203691
-946.189494,41,23047.516778
-14.792918,19,23063.313395
-118.246276,23,23082.800232
-17.961159,18,23103.020377
-72.49614,23,23124.204394
-157.749562,28,23145.116328
-101.29538,24,23166.919729
33.641685,17,23184.50966
-1001.505326,42,23213.375054
-375.310251,31,23236.70846
-180.879123,26,23254.191822
-413.771909,30,23280.323451
-203.697013,27,23300.985378
-793.804033,45,23330.967105
49.757912,24,23348.755732
-404.848586,35,23373.041058
-416.09944,30,23410.833606
104.610499,15,23425.479196
-157.551028,27,23446.480175
-76.814562,22,23479.383209
245.698944,8,23504.108619
82.510093,16,23533.760459
300,1,23540.094951
-17.254697,20,23569.404863
-898.148074,47,23598.736163
70.173767,20,23614.903251
-797.210491,40,23642.673212
-790.917712,39,23684.565036
-93.503706,21,23705.561692
131.5542,12,23721.349905
220.587218,14,23733.328527
223.50322,16,23747.448346
226.680374,10,23758.568694
-778.091001,42,23802.150191
-671.646731,37,23827.352443
-201.203278,24,23862.892032
-1027.097305,39,23905.161484
219.144044,11,23918.193929
94.247706,17,23947.591544
232.970265,11,23959.845662
114.387952,16,23989.065443
94.190624,18,24004.48715
106.33969,16,24034.126079
-440.749002,28,24057.262784
245.970886,8,24068.683707
109.0411,18,24082.402213
166.695039,28,24101.3569
40.48427,27,24120.004357
-517.264533,31,24145.834674
-342.613094,32,24171.646458
-108.212408,27,24192.016601
-127.406772,25,24224.139986
140.937762,13,24253.166907
258.885829,6,24264.152833
237.821061,9,24273.947057
-498.394952,35,24299.751017
-842.178879,39,24326.8928
-168.266544,24,24347.41835
106.328941,18,24364.045427
268.379179,6,24375.283162
98.123299,16,24391.519016
-151.95063,25,24411.449307
-6.243119,20,24427.93944
88.56026,19,24444.634432
-371.585143,30,24481.131099
